Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""","Sensor #1 Rotation Matrix M0,0","Sensor #1 Rotation Matrix M0,1","Sensor #1 Rotation Matrix M0,2","Sensor #1 Rotation Matrix M1,0","Sensor #1 Rotation Matrix M1,1","Sensor #1 Rotation Matrix M1,2","Sensor #1 Rotation Matrix M2,0","Sensor #1 Rotation Matrix M2,1","Sensor #1 Rotation Matrix M2,2",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""","Sensor #2 Rotation Matrix M0,0","Sensor #2 Rotation Matrix M0,1","Sensor #2 Rotation Matrix M0,2","Sensor #2 Rotation Matrix M1,0","Sensor #2 Rotation Matrix M1,1","Sensor #2 Rotation Matrix M1,2","Sensor #2 Rotation Matrix M2,0","Sensor #2 Rotation Matrix M2,1","Sensor #2 Rotation Matrix M2,2",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""","Sensor #3 Rotation Matrix M0,0","Sensor #3 Rotation Matrix M0,1","Sensor #3 Rotation Matrix M0,2","Sensor #3 Rotation Matrix M1,0","Sensor #3 Rotation Matrix M1,1","Sensor #3 Rotation Matrix M1,2","Sensor #3 Rotation Matrix M2,0","Sensor #3 Rotation Matrix M2,1","Sensor #3 Rotation Matrix M2,2",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""","Sensor #4 Rotation Matrix M0,0","Sensor #4 Rotation Matrix M0,1","Sensor #4 Rotation Matrix M0,2","Sensor #4 Rotation Matrix M1,0","Sensor #4 Rotation Matrix M1,1","Sensor #4 Rotation Matrix M1,2","Sensor #4 Rotation Matrix M2,0","Sensor #4 Rotation Matrix M2,1","Sensor #4 Rotation Matrix M2,2",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""","Sensor #5 Rotation Matrix M0,0","Sensor #5 Rotation Matrix M0,1","Sensor #5 Rotation Matrix M0,2","Sensor #5 Rotation Matrix M1,0","Sensor #5 Rotation Matrix M1,1","Sensor #5 Rotation Matrix M1,2","Sensor #5 Rotation Matrix M2,0","Sensor #5 Rotation Matrix M2,1","Sensor #5 Rotation Matrix M2,2",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X""","Sensor #6 Rotation Matrix M0,0","Sensor #6 Rotation Matrix M0,1","Sensor #6 Rotation Matrix M0,2","Sensor #6 Rotation Matrix M1,0","Sensor #6 Rotation Matrix M1,1","Sensor #6 Rotation Matrix M1,2","Sensor #6 Rotation Matrix M2,0","Sensor #6 Rotation Matrix M2,1","Sensor #6 Rotation Matrix M2,2"
0.357299,0.083822,-0.084581,-24.938183,-6.835797,113.441044,0.900291,-0.266834,-0.343828,-0.418630,-0.314470,-0.851519,0.119025,0.910569,-0.394813,0.374377,0.092534,-0.121751,-97.847510,-36.994602,175.873137,-0.109024,-0.981982,-0.153319,-0.791015,0.179374,-0.584709,0.601740,0.057455,-0.796299,0.406524,0.161965,-0.167177,-123.898851,-38.290235,-146.975837,-0.437536,-0.884107,0.162208,-0.651150,0.187738,-0.735129,0.619646,-0.427513,-0.657704,0.351056,-0.107228,-0.088928,52.410569,-25.011894,100.097168,0.552748,-0.114821,0.825319,0.718031,-0.436724,-0.541540,0.422807,0.891993,-0.158843,0.374713,-0.118064,-0.120634,117.497365,-42.736963,49.330403,-0.339028,-0.340174,0.876964,0.651339,-0.757388,-0.041952,0.678634,0.557031,0.478608,0.431850,-0.177793,-0.167183,138.861865,-40.456538,-163.051234,-0.572657,0.486562,-0.659183,0.500232,0.845015,0.188781,0.648871,-0.221646,-0.727298
0.370126,0.074338,-0.081988,-5.927952,-1.120858,144.033414,1.111353,-0.197512,-0.396265,-0.449877,-0.372853,-0.834543,0.032576,1.121922,-0.419207,0.380184,0.086704,-0.124459,-92.506417,-39.930083,215.715863,-0.027696,-1.054005,-0.249526,-0.808997,0.186550,-0.563354,0.647398,0.186267,-0.851968,0.407870,0.158058,-0.173392,-122.115587,-36.695424,-152.141140,-0.433108,-0.902022,0.121460,-0.680173,0.247939,-0.717652,0.599682,-0.402803,-0.718746,0.362208,-0.099045,-0.087289,35.780747,-24.252811,117.669198,0.746336,-0.084271,0.884725,0.803057,-0.379695,-0.545401,0.411088,1.069657,-0.285589,0.380934,-0.113483,-0.124009,110.991662,-46.082004,58.169536,-0.259744,-0.341355,0.966376,0.706724,-0.736275,-0.002538,0.728526,0.667291,0.418367,0.434806,-0.175747,-0.173108,136.221941,-38.629057,-207.470631,-0.576096,0.470211,-0.670512,0.538666,0.855362,0.132437,0.627207,-0.279725,-0.750978
0.366753,0.076871,-0.082670,-10.921403,-2.623928,135.980311,1.055860,-0.215694,-0.382469,-0.441638,-0.357459,-0.839132,0.055317,1.066449,-0.412828,0.378645,0.088237,-0.123750,-93.908815,-39.157381,205.238068,-0.049063,-1.035071,-0.224202,-0.804299,0.184664,-0.568944,0.635379,0.152396,-0.837347,0.407507,0.159063,-0.171794,-122.597724,-37.110144,-150.782748,-0.434473,-0.897262,0.132098,-0.672517,0.232287,-0.722230,0.604862,-0.409351,-0.702780,0.359222,-0.101272,-0.087760,40.139799,-24.446972,113.074206,0.695612,-0.092052,0.869033,0.780677,-0.394850,-0.544457,0.414083,1.022969,-0.252676,0.379305,-0.114701,-0.123122,112.694500,-45.201354,55.852352,-0.280524,-0.341093,0.942907,0.692231,-0.741815,-0.012989,0.715390,0.638371,0.434155,0.434094,-0.176247,-0.171522,136.941279,-39.101788,-195.819716,-0.575473,0.474490,-0.667277,0.528359,0.852726,0.147318,0.632799,-0.264118,-0.744921
0.302810,0.124140,-0.095601,-105.690752,-31.112353,-16.525772,0.003680,-0.561243,-0.121094,-0.285871,-0.066416,-0.923810,0.486259,0.012879,-0.291215,0.349721,0.117302,-0.110244,-120.535538,-24.523479,6.619273,-0.454499,-0.676017,0.255394,-0.714648,0.148894,-0.675411,0.407763,-0.489750,-0.559821,0.400800,0.178516,-0.140827,-131.507547,-45.053167,-125.024079,-0.456782,-0.807900,0.335124,-0.527750,-0.067588,-0.809389,0.704284,-0.532640,-0.398499,0.303625,-0.142109,-0.095928,123.033266,-28.222683,25.490174,-0.269320,-0.244186,0.572778,0.356778,-0.679201,-0.525286,0.472372,0.137320,0.378977,0.348280,-0.137559,-0.106295,145.112937,-28.523956,11.798457,-0.675719,-0.335373,0.497219,0.416330,-0.847077,-0.209573,0.466644,0.088847,0.734426,0.419368,-0.186416,-0.142046,150.119545,-48.223148,25.600563,-0.558341,0.555955,-0.610832,0.336521,0.801237,0.428267,0.740906,0.025570,-0.626796
0.266341,0.151060,-0.102975,-159.748355,-47.361159,-103.481766,-0.596348,-0.758348,0.028068,-0.197005,0.099357,-0.972025,0.732043,-0.588064,-0.221631,0.333253,0.133878,-0.102542,-135.730420,-16.182634,-106.653666,-0.685810,-0.471231,0.528814,-0.663386,0.128450,-0.736252,0.278036,-0.855991,-0.401450,0.397028,0.189680,-0.123028,-136.579384,-49.572893,-110.330388,-0.469519,-0.756837,0.451109,-0.445355,-0.238719,-0.859047,0.760875,-0.603131,-0.224966,0.271976,-0.165290,-0.100548,170.328491,-30.377680,-24.477027,-0.819789,-0.330957,0.403932,0.114877,-0.841347,-0.514246,0.505644,-0.367794,0.739509,0.330566,-0.150601,-0.096698,163.599436,-19.016604,-13.333602,-0.900989,-0.332215,0.243027,0.259025,-0.906948,-0.321766,0.324848,-0.224640,0.905662,0.410928,-0.192220,-0.125233,157.618872,-53.418646,151.906332,-0.548426,0.602277,-0.578773,0.227242,0.771922,0.588317,0.802514,0.190566,-0.559357
0.280303,0.140740,-0.100141,-139.061353,-41.148314,-70.168288,-0.366447,-0.682950,-0.029010,-0.230895,0.035711,-0.953547,0.638034,-0.357908,-0.247979,0.339522,0.127517,-0.105479,-129.922691,-19.382812,-63.278147,-0.597264,-0.549613,0.423953,-0.682800,0.136270,-0.713080,0.327818,-0.715729,-0.461899,0.398505,0.185568,-0.129653,-134.599718,-47.825188,-115.972201,-0.464590,-0.776202,0.407225,-0.477438,-0.173459,-0.839770,0.739015,-0.576391,-0.291682,0.284108,-0.156312,-0.098822,152.242887,-29.571542,-5.357414,-0.609077,-0.297669,0.468965,0.207207,-0.779417,-0.518456,0.493191,-0.174421,0.601386,0.337323,-0.145627,-0.100388,156.516507,-22.666734,-3.721813,-0.814396,-0.333544,0.340420,0.319260,-0.883653,-0.279014,0.379305,-0.104755,0.840006,0.414217,-0.189969,-0.131522,154.750175,-51.386255,103.557930,-0.552638,0.584201,-0.590838,0.269219,0.783342,0.526702,0.778488,0.127483,-0.585590
0.284661,0.137524,-0.099231,-132.608724,-39.213931,-59.781978,-0.294761,-0.659466,-0.046948,-0.241439,0.015946,-0.947821,0.608750,-0.286066,-0.256315,0.341434,0.125540,-0.106382,-128.101964,-20.375563,-49.754950,-0.569550,-0.574153,0.391252,-0.688973,0.138886,-0.705710,0.343254,-0.671884,-0.480976,0.398975,0.184264,-0.131748,-133.990956,-47.278071,-117.731192,-0.463114,-0.782264,0.393377,-0.487367,-0.152942,-0.833815,0.732174,-0.568044,-0.312480,0.287827,-0.153540,-0.098335,146.593654,-29.336013,0.602220,-0.543115,-0.287508,0.489381,0.236067,-0.759933,-0.519940,0.489546,-0.114110,0.558083,0.339377,-0.144025,-0.101530,154.306740,-23.803911,-0.718211,-0.787436,-0.333929,0.370808,0.338058,-0.876463,-0.265600,0.396267,-0.067285,0.819544,0.415385,-0.189273,-0.133348,153.855048,-50.717519,88.485913,-0.554534,0.578350,-0.594417,0.282553,0.787081,0.507182,0.770630,0.107845,-0.594433
0.284661,0.137524,-0.099175,-132.605595,-39.208728,-59.774908,-0.294837,-0.659414,-0.046765,-0.241499,0.015778,-0.947836,0.608690,-0.286172,-0.256266,0.341437,0.125617,-0.106376,-128.079548,-20.356079,-49.785826,-0.569435,-0.574271,0.391486,-0.689382,0.139207,-0.705360,0.342926,-0.671835,-0.481522,0.399048,0.184145,-0.131865,-134.025428,-47.300158,-117.726388,-0.463149,-0.782553,0.392838,-0.486869,-0.152697,-0.834128,0.732423,-0.567768,-0.312325,0.287789,-0.153552,-0.098330,146.569543,-29.341603,0.604248,-0.543002,-0.287892,0.489250,0.236419,-0.759783,-0.520083,0.489630,-0.114059,0.558051,0.339344,-0.143949,-0.101466,154.310678,-23.800632,-0.707227,-0.787756,-0.333875,0.370834,0.338078,-0.876836,-0.265405,0.396213,-0.067117,0.819621,0.415674,-0.189350,-0.133199,153.833730,-50.676843,88.506351,-0.555035,0.578324,-0.594024,0.282992,0.787104,0.506999,0.770209,0.107861,-0.595096
0.284661,0.137524,-0.099171,-132.615168,-39.214349,-59.755051,-0.294840,-0.659443,-0.046649,-0.241385,0.015509,-0.947904,0.608754,-0.286208,-0.256035,0.341428,0.125661,-0.106316,-128.064680,-20.333536,-49.808720,-0.569328,-0.574272,0.391592,-0.689625,0.139638,-0.705057,0.342547,-0.671763,-0.481911,0.399050,0.184119,-0.132017,-134.018962,-47.343390,-117.740481,-0.462698,-0.782964,0.392664,-0.486547,-0.152916,-0.834246,0.732909,-0.567192,-0.312291,0.287740,-0.153558,-0.098318,146.548028,-29.349998,0.604700,-0.542955,-0.288267,0.489173,0.236739,-0.759718,-0.520239,0.489756,-0.114023,0.557996,0.339322,-0.143963,-0.101440,154.305785,-23.802259,-0.691399,-0.787867,-0.333928,0.370918,0.338192,-0.877035,-0.265184,0.396240,-0.066863,0.819686,0.415996,-0.189211,-0.133106,153.912662,-50.658558,88.436380,-0.555613,0.577923,-0.593931,0.282344,0.787218,0.507097,0.770020,0.108642,-0.595127
0.284661,0.137524,-0.099226,-132.637106,-39.228996,-59.747725,-0.294928,-0.659557,-0.046827,-0.241146,0.015431,-0.948037,0.608923,-0.286201,-0.255943,0.341438,0.125628,-0.106274,-128.078751,-20.326880,-49.815773,-0.569472,-0.574238,0.391336,-0.689436,0.139967,-0.705131,0.342435,-0.671701,-0.482013,0.398988,0.184205,-0.131976,-134.006227,-47.341516,-117.733685,-0.462553,-0.782868,0.392846,-0.486608,-0.153062,-0.834116,0.732888,-0.567172,-0.312202,0.287704,-0.153545,-0.098318,146.546347,-29.360370,0.595179,-0.542843,-0.288429,0.489238,0.236751,-0.759597,-0.520408,0.489912,-0.114105,0.557845,0.339274,-0.143962,-0.101388,154.288119,-23.787653,-0.681505,-0.787753,-0.334084,0.370652,0.338464,-0.876893,-0.265032,0.395998,-0.066725,0.819801,0.416075,-0.189054,-0.133063,153.964234,-50.650818,88.409714,-0.555929,0.577479,-0.594112,0.281895,0.787488,0.506917,0.769939,0.108945,-0.595151
