Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""","Sensor #1 Rotation Matrix M0,0","Sensor #1 Rotation Matrix M0,1","Sensor #1 Rotation Matrix M0,2","Sensor #1 Rotation Matrix M1,0","Sensor #1 Rotation Matrix M1,1","Sensor #1 Rotation Matrix M1,2","Sensor #1 Rotation Matrix M2,0","Sensor #1 Rotation Matrix M2,1","Sensor #1 Rotation Matrix M2,2",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""","Sensor #2 Rotation Matrix M0,0","Sensor #2 Rotation Matrix M0,1","Sensor #2 Rotation Matrix M0,2","Sensor #2 Rotation Matrix M1,0","Sensor #2 Rotation Matrix M1,1","Sensor #2 Rotation Matrix M1,2","Sensor #2 Rotation Matrix M2,0","Sensor #2 Rotation Matrix M2,1","Sensor #2 Rotation Matrix M2,2",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""","Sensor #3 Rotation Matrix M0,0","Sensor #3 Rotation Matrix M0,1","Sensor #3 Rotation Matrix M0,2","Sensor #3 Rotation Matrix M1,0","Sensor #3 Rotation Matrix M1,1","Sensor #3 Rotation Matrix M1,2","Sensor #3 Rotation Matrix M2,0","Sensor #3 Rotation Matrix M2,1","Sensor #3 Rotation Matrix M2,2",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""","Sensor #4 Rotation Matrix M0,0","Sensor #4 Rotation Matrix M0,1","Sensor #4 Rotation Matrix M0,2","Sensor #4 Rotation Matrix M1,0","Sensor #4 Rotation Matrix M1,1","Sensor #4 Rotation Matrix M1,2","Sensor #4 Rotation Matrix M2,0","Sensor #4 Rotation Matrix M2,1","Sensor #4 Rotation Matrix M2,2",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""","Sensor #5 Rotation Matrix M0,0","Sensor #5 Rotation Matrix M0,1","Sensor #5 Rotation Matrix M0,2","Sensor #5 Rotation Matrix M1,0","Sensor #5 Rotation Matrix M1,1","Sensor #5 Rotation Matrix M1,2","Sensor #5 Rotation Matrix M2,0","Sensor #5 Rotation Matrix M2,1","Sensor #5 Rotation Matrix M2,2",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X""","Sensor #6 Rotation Matrix M0,0","Sensor #6 Rotation Matrix M0,1","Sensor #6 Rotation Matrix M0,2","Sensor #6 Rotation Matrix M1,0","Sensor #6 Rotation Matrix M1,1","Sensor #6 Rotation Matrix M1,2","Sensor #6 Rotation Matrix M2,0","Sensor #6 Rotation Matrix M2,1","Sensor #6 Rotation Matrix M2,2"
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.329171,0.090078,-0.266300,-88.171513,0.572809,110.482699,0.031899,-0.349577,-0.936121,-0.999213,-0.020211,-0.026162,-0.009997,0.936433,-0.349796,0.367010,0.102580,-0.277016,-119.236312,-4.911069,-130.653440,-0.486464,-0.600146,0.634462,-0.869131,0.261843,-0.419206,0.085609,-0.755611,-0.648860,0.430188,0.183059,-0.297219,-158.415509,0.653834,130.105753,-0.929404,-0.245043,-0.274367,-0.367686,0.596053,0.713682,-0.011411,0.764519,-0.643916,0.258403,0.001451,-0.262951,78.222073,24.118679,-129.413168,0.186280,0.557159,-0.809133,0.893390,-0.438453,-0.096432,-0.408628,-0.704995,-0.579361,0.402617,0.032705,-0.323115,94.400151,-8.294518,-121.789582,-0.075899,0.515852,-0.853001,0.986358,0.163036,0.010401,0.144262,-0.840778,-0.521093,0.380181,-0.066498,-0.286280,143.933131,11.190218,-1.795125,-0.792668,-0.583310,-0.175246,0.577322,-0.811223,0.088854,-0.194067,-0.030730,0.980503
0.329112,0.090313,-0.266242,-88.307756,0.620450,110.454696,0.029524,-0.349134,-0.936408,-0.999320,-0.020144,-0.023665,-0.010828,0.936611,-0.349341,0.367107,0.102655,-0.276911,-119.309990,-4.668384,-130.786029,-0.487805,-0.599751,0.633843,-0.868914,0.266421,-0.417097,0.081398,-0.754481,-0.650915,0.430320,0.183120,-0.297102,-158.505466,0.680543,130.041410,-0.930007,-0.244122,-0.273264,-0.366237,0.595506,0.714917,-0.011877,0.765258,-0.643071,0.258346,0.001387,-0.262925,78.239426,24.142533,-129.423728,0.185979,0.557368,-0.809083,0.893302,-0.438597,-0.096961,-0.409008,-0.704789,-0.579410,0.402649,0.032598,-0.323024,94.424106,-8.261039,-121.800437,-0.076318,0.515983,-0.852894,0.986419,0.162750,0.009776,0.143684,-0.840760,-0.521302,0.380180,-0.066476,-0.286294,143.948823,11.182863,-1.769571,-0.792825,-0.583154,-0.174909,0.577104,-0.811321,0.089092,-0.193941,-0.030294,0.980542
0.336883,0.077278,-0.289456,-75.931597,3.707791,145.351829,0.161953,-0.362150,-1.026474,-1.131787,-0.131534,0.055183,-0.063389,1.141226,-0.295525,0.371769,0.094475,-0.302815,-113.241543,-3.086693,-141.006601,-0.428260,-0.672770,0.665933,-0.950174,0.383418,-0.374013,0.054413,-0.750685,-0.812732,0.432294,0.181821,-0.321639,-157.103046,5.136020,171.111279,-0.943233,-0.236388,-0.247791,-0.393873,0.548784,0.853776,-0.085723,0.893300,-0.617677,0.257294,0.027953,-0.286033,65.337586,31.016590,-166.550945,0.334031,0.581283,-0.886265,0.998975,-0.599008,-0.202419,-0.525195,-0.879938,-0.563227,0.414370,0.060533,-0.355383,132.001898,-7.077639,-162.688384,0.044608,0.585938,-0.929572,1.124108,0.048639,0.002266,0.123571,-0.965989,-0.461696,0.376630,-0.050445,-0.309736,187.843155,17.248211,5.897741,-0.786470,-0.606335,-0.248104,0.665696,-0.844818,0.213937,-0.295385,0.062678,1.053713
0.335276,0.079297,-0.283709,-78.306230,2.638621,136.361420,0.142439,-0.361588,-1.000829,-1.096262,-0.103450,0.018630,-0.045071,1.086251,-0.312696,0.370038,0.096079,-0.296364,-114.405187,-4.956579,-137.481300,-0.435974,-0.655449,0.661505,-0.929957,0.324822,-0.398109,0.086737,-0.758750,-0.757243,0.431029,0.181599,-0.315813,-156.950761,3.823069,160.729799,-0.936310,-0.244126,-0.260634,-0.395025,0.564615,0.809667,-0.063835,0.854814,-0.629816,0.257888,0.021374,-0.280095,68.619787,29.065603,-156.740428,0.297009,0.573828,-0.866130,0.971733,-0.556048,-0.171396,-0.492355,-0.834987,-0.567309,0.411147,0.053695,-0.347320,121.973450,-7.553760,-151.894394,0.015436,0.567034,-0.909748,1.087541,0.079821,0.007940,0.131711,-0.933032,-0.476525,0.377513,-0.054739,-0.303526,176.221370,15.682930,3.751859,-0.787319,-0.601050,-0.230446,0.643525,-0.835521,0.179850,-0.269220,0.036013,1.034306
0.296504,0.143826,-0.168047,-139.858102,-12.885300,-37.580305,-0.515177,-0.297152,-0.551612,-0.435786,0.453172,-0.377580,0.219274,0.066031,-0.581337,0.346543,0.137201,-0.167812,-144.459215,-13.277519,-86.299379,-0.729324,-0.292758,0.502979,-0.525824,-0.267144,-0.615850,0.228829,-0.779615,0.052931,0.420863,0.188303,-0.193894,-163.745644,-18.480183,-43.944388,-0.868978,-0.283915,-0.390625,-0.260381,0.798098,0.115433,0.305898,0.215788,-0.757257,0.263328,-0.111024,-0.164981,132.907604,-5.231171,28.375564,-0.440555,0.453993,-0.481591,0.444965,0.243729,0.355228,0.087306,0.037773,-0.647499,0.352584,-0.084871,-0.186292,-65.372829,-13.591629,52.003759,-0.587090,0.217259,-0.527983,0.400755,0.650731,0.046580,0.234370,-0.309039,-0.772570,0.395300,-0.134842,-0.186560,-42.679399,-14.515619,-34.555594,-0.818250,-0.486327,0.132785,0.203010,-0.668213,-0.443223,0.235819,-0.428976,0.669462
0.273935,0.181692,-0.101816,-175.714026,-21.588367,-136.952965,-0.903268,-0.257976,-0.297326,-0.059680,0.772613,-0.590433,0.367385,-0.514774,-0.731830,0.333373,0.161347,-0.094405,-161.873922,-16.897024,-57.796558,-0.902045,-0.084889,0.409832,-0.295116,-0.583207,-0.729705,0.290332,-0.786128,0.504386,0.415552,0.192822,-0.123990,-167.989547,-31.122533,-161.046363,-0.832843,-0.302026,-0.460838,-0.177569,0.928145,-0.274378,0.515387,-0.144345,-0.825085,0.266211,-0.186906,-0.099244,169.664306,-24.674921,133.965680,-0.862898,0.386267,-0.262482,0.144134,0.699599,0.652608,0.416042,0.535914,-0.693460,0.319236,-0.164150,-0.094307,-172.110332,-16.973118,168.279239,-0.932855,0.018082,-0.310633,0.009489,0.976162,0.065963,0.291828,0.046785,-0.941481,0.405653,-0.180505,-0.119723,-167.461763,-31.694243,-56.327720,-0.836821,-0.419576,0.340580,-0.049203,-0.573252,-0.797673,0.523220,-0.693331,0.461748
0.282417,0.167561,-0.127106,-162.239166,-18.232047,-98.967104,-0.759055,-0.272287,-0.395569,-0.203838,0.651092,-0.504684,0.310225,-0.292045,-0.673278,0.338424,0.152413,-0.122384,-155.250769,-15.122309,-68.971458,-0.837443,-0.163806,0.444878,-0.384033,-0.454734,-0.682927,0.260055,-0.782419,0.327619,0.417767,0.191362,-0.150578,-166.474944,-26.247862,-116.337628,-0.847447,-0.293617,-0.432625,-0.207485,0.877268,-0.123142,0.434608,-0.005046,-0.797562,0.264953,-0.157951,-0.124434,155.623482,-17.215114,93.571777,-0.701651,0.412485,-0.346884,0.259171,0.525213,0.537560,0.289928,0.344916,-0.675996,0.332041,-0.133966,-0.129633,-131.219490,-15.697650,123.743842,-0.801031,0.094728,-0.394575,0.159608,0.851559,0.058029,0.270133,-0.089200,-0.876605,0.402054,-0.162991,-0.145161,-119.615250,-25.058860,-48.012120,-0.830318,-0.443908,0.261324,0.046232,-0.609494,-0.661797,0.412331,-0.592560,0.541082
0.285155,0.163075,-0.135013,-157.959228,-17.191178,-87.094163,-0.712725,-0.277004,-0.426032,-0.248749,0.612840,-0.479173,0.292504,-0.222639,-0.655311,0.339984,0.149611,-0.131091,-153.136578,-14.655945,-72.424467,-0.816846,-0.188111,0.456153,-0.412255,-0.416082,-0.669465,0.252136,-0.781968,0.273092,0.418418,0.190859,-0.158820,-165.971498,-24.713381,-102.339207,-0.852107,-0.291518,-0.423737,-0.217378,0.861687,-0.076635,0.409214,0.037817,-0.789742,0.264424,-0.148799,-0.132394,151.228508,-14.940568,80.932445,-0.650738,0.421214,-0.373474,0.295090,0.470434,0.502323,0.251413,0.285405,-0.670004,0.335993,-0.124529,-0.140752,-118.466354,-15.328052,109.841112,-0.759512,0.118638,-0.421162,0.206363,0.812608,0.055824,0.263839,-0.131580,-0.856240,0.400821,-0.157725,-0.153352,-104.715843,-23.085386,-45.494511,-0.827310,-0.453495,0.236337,0.076572,-0.619499,-0.620291,0.379155,-0.560952,0.564421
