Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""","Sensor #1 Rotation Matrix M0,0","Sensor #1 Rotation Matrix M0,1","Sensor #1 Rotation Matrix M0,2","Sensor #1 Rotation Matrix M1,0","Sensor #1 Rotation Matrix M1,1","Sensor #1 Rotation Matrix M1,2","Sensor #1 Rotation Matrix M2,0","Sensor #1 Rotation Matrix M2,1","Sensor #1 Rotation Matrix M2,2",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""","Sensor #2 Rotation Matrix M0,0","Sensor #2 Rotation Matrix M0,1","Sensor #2 Rotation Matrix M0,2","Sensor #2 Rotation Matrix M1,0","Sensor #2 Rotation Matrix M1,1","Sensor #2 Rotation Matrix M1,2","Sensor #2 Rotation Matrix M2,0","Sensor #2 Rotation Matrix M2,1","Sensor #2 Rotation Matrix M2,2",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""","Sensor #3 Rotation Matrix M0,0","Sensor #3 Rotation Matrix M0,1","Sensor #3 Rotation Matrix M0,2","Sensor #3 Rotation Matrix M1,0","Sensor #3 Rotation Matrix M1,1","Sensor #3 Rotation Matrix M1,2","Sensor #3 Rotation Matrix M2,0","Sensor #3 Rotation Matrix M2,1","Sensor #3 Rotation Matrix M2,2",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""","Sensor #4 Rotation Matrix M0,0","Sensor #4 Rotation Matrix M0,1","Sensor #4 Rotation Matrix M0,2","Sensor #4 Rotation Matrix M1,0","Sensor #4 Rotation Matrix M1,1","Sensor #4 Rotation Matrix M1,2","Sensor #4 Rotation Matrix M2,0","Sensor #4 Rotation Matrix M2,1","Sensor #4 Rotation Matrix M2,2",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""","Sensor #5 Rotation Matrix M0,0","Sensor #5 Rotation Matrix M0,1","Sensor #5 Rotation Matrix M0,2","Sensor #5 Rotation Matrix M1,0","Sensor #5 Rotation Matrix M1,1","Sensor #5 Rotation Matrix M1,2","Sensor #5 Rotation Matrix M2,0","Sensor #5 Rotation Matrix M2,1","Sensor #5 Rotation Matrix M2,2",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X""","Sensor #6 Rotation Matrix M0,0","Sensor #6 Rotation Matrix M0,1","Sensor #6 Rotation Matrix M0,2","Sensor #6 Rotation Matrix M1,0","Sensor #6 Rotation Matrix M1,1","Sensor #6 Rotation Matrix M1,2","Sensor #6 Rotation Matrix M2,0","Sensor #6 Rotation Matrix M2,1","Sensor #6 Rotation Matrix M2,2"
0.261305,0.181049,-0.106459,178.811383,-34.266748,-130.642714,-0.825855,-0.413572,-0.382457,0.017135,0.660245,-0.750775,0.563047,-0.626829,-0.538069,0.313879,0.162074,-0.095631,-172.324118,-22.777696,-109.916869,-0.913559,-0.406231,-0.005189,-0.123126,0.289144,-0.949264,0.387157,-0.86674,-0.314044,0.398264,0.190091,-0.131908,-159.35376,-33.957012,-100.801108,-0.77592,-0.579544,0.248206,-0.292364,-0.017805,-0.956,0.558571,-0.814581,-0.155406,0.291331,-0.216852,-0.114272,167.671421,-46.590775,35.602824,-0.671014,0.239713,0.701281,0.146655,-0.884299,0.442677,0.726464,0.400011,0.558671,0.343681,-0.199104,-0.108468,-172.960083,-15.544592,3.522594,-0.955912,0.138642,0.257936,-0.118047,-0.988325,0.093758,0.267988,0.059194,0.961597,0.432867,-0.217745,-0.126885,175.810931,-37.047383,149.578658,-0.795156,0.367074,-0.481274,0.05824,0.837933,0.542544,0.602475,0.403735,-0.687563
0.261193,0.181161,-0.10657,178.826104,-34.273453,-130.648643,-0.825855,-0.413784,-0.382361,0.016923,0.660189,-0.750841,0.563143,-0.626763,-0.538124,0.313879,0.162074,-0.095743,-172.320091,-22.796537,-109.903457,-0.913172,-0.406523,-0.005213,-0.12314,0.289062,-0.949195,0.38746,-0.86653,-0.313738,0.398376,0.190091,-0.131908,-159.34763,-33.953589,-100.824193,-0.775945,-0.579594,0.248102,-0.292468,-0.017492,-0.955988,0.558521,-0.814568,-0.155744,0.291331,-0.216852,-0.11416,167.693729,-46.577677,35.586982,-0.671014,0.23987,0.701008,0.146382,-0.884101,0.44277,0.726307,0.399919,0.558869,0.343681,-0.198993,-0.108468,-172.931041,-15.531369,3.519445,-0.955912,0.139116,0.257676,-0.118539,-0.98826,0.093807,0.267766,0.059145,0.961662,0.432867,-0.217745,-0.126885,175.826874,-37.042833,149.572087,-0.795156,0.366851,-0.481338,0.058018,0.83799,0.542471,0.602412,0.403808,-0.687506
0.261305,0.181049,-0.10657,178.826104,-34.273453,-130.648643,-0.825855,-0.413784,-0.382361,0.016923,0.660189,-0.750841,0.563143,-0.626763,-0.538124,0.313879,0.162074,-0.095743,-172.332023,-22.787853,-109.898054,-0.913172,-0.40633,-0.005353,-0.122946,0.289144,-0.949165,0.38732,-0.86656,-0.313657,0.398487,0.190091,-0.131797,-159.389035,-33.920176,-100.786457,-0.77657,-0.578986,0.247956,-0.292063,-0.017656,-0.956166,0.558037,-0.815065,-0.155282,0.291331,-0.216852,-0.11416,167.698348,-46.592261,35.585476,-0.670583,0.240137,0.701066,0.146231,-0.883868,0.442817,0.726482,0.399755,0.558671,0.343793,-0.198993,-0.108356,-172.901445,-15.503801,3.517015,-0.955912,0.139579,0.257175,-0.119041,-0.988131,0.09384,0.267302,0.059112,0.961792,0.432867,-0.217745,-0.126662,175.860351,-37.025015,149.555682,-0.795727,0.366444,-0.481286,0.057592,0.837977,0.542583,0.602164,0.404267,-0.687838
0.261305,0.181049,-0.10657,178.839668,-34.261403,-130.674945,-0.826086,-0.413649,-0.382242,0.016732,0.660383,-0.750698,0.562969,-0.626675,-0.538549,0.31399,0.162074,-0.095743,-172.36118,-22.803236,-109.894376,-0.913172,-0.406416,-0.00588,-0.122473,0.289225,-0.949216,0.387568,-0.866509,-0.313576,0.398599,0.190091,-0.131797,-159.348548,-33.902337,-100.797434,-0.776258,-0.578815,0.248373,-0.292572,-0.017497,-0.955871,0.557779,-0.815022,-0.155436,0.291331,-0.216964,-0.114272,167.698213,-46.624807,35.593122,-0.670152,0.240463,0.70134,0.146139,-0.883833,0.44287,0.726872,0.399585,0.558276,0.343793,-0.198993,-0.108356,-172.885156,-15.503411,3.500706,-0.955893,0.139788,0.257181,-0.119314,-0.988131,0.093631,0.267296,0.058839,0.961811,0.432755,-0.217856,-0.126774,175.851308,-37.012476,149.520668,-0.795536,0.36672,-0.480871,0.057704,0.837666,0.543009,0.601989,0.404605,-0.68745
0.261193,0.181161,-0.106459,178.86109,-34.253387,-130.679614,-0.826086,-0.413764,-0.381933,0.016423,0.660327,-0.750736,0.562854,-0.626636,-0.538605,0.31399,0.162074,-0.095855,-172.353426,-22.814453,-109.895681,-0.913451,-0.40664,-0.005699,-0.122636,0.288864,-0.94944,0.387748,-0.866672,-0.313657,0.398487,0.190202,-0.131797,-159.327537,-33.901464,-100.807224,-0.776258,-0.578827,0.248698,-0.292897,-0.017651,-0.955822,0.557766,-0.815072,-0.15559,0.291331,-0.216964,-0.11416,167.711162,-46.615084,35.587923,-0.670583,0.240411,0.701223,0.146074,-0.884066,0.442922,0.726756,0.39965,0.558474,0.343793,-0.198993,-0.108356,-172.886649,-15.490019,3.515806,-0.955912,0.139811,0.256924,-0.119291,-0.988066,0.093856,0.267071,0.059096,0.961856,0.432643,-0.217745,-0.126885,175.871857,-37.043276,149.484364,-0.795345,0.366964,-0.481187,0.057404,0.837412,0.543447,0.602418,0.404929,-0.687005
0.261193,0.181161,-0.106459,178.86896,-34.257427,-130.657988,-0.825855,-0.414015,-0.381743,0.016305,0.660078,-0.750918,0.562912,-0.626686,-0.538236,0.313879,0.162074,-0.095855,-172.320253,-22.817913,-109.885949,-0.913064,-0.406846,-0.005196,-0.123122,0.288701,-0.94932,0.387804,-0.866512,-0.313433,0.398599,0.190091,-0.131797,-159.334371,-33.911239,-100.787328,-0.77592,-0.578907,0.248556,-0.292664,-0.017651,-0.955742,0.557908,-0.814839,-0.155252,0.291331,-0.217075,-0.114272,167.705176,-46.615628,35.608198,-0.6707,0.24051,0.701217,0.146173,-0.884066,0.443137,0.726762,0.399865,0.558357,0.343905,-0.199104,-0.108245,-172.858546,-15.44907,3.528501,-0.955931,0.140297,0.256165,-0.11977,-0.987872,0.094114,0.266382,0.059321,0.962031,0.432532,-0.217856,-0.126997,175.892351,-37.054681,149.479555,-0.795345,0.366805,-0.481472,0.057118,0.837469,0.543403,0.602577,0.404973,-0.686948
0.261305,0.181161,-0.106459,178.86896,-34.257427,-130.657988,-0.825855,-0.414015,-0.381743,0.016305,0.660078,-0.750918,0.562912,-0.626686,-0.538236,0.313879,0.162074,-0.095855,-172.308322,-22.826601,-109.891361,-0.913064,-0.40704,-0.005056,-0.123316,0.288619,-0.94935,0.387944,-0.866482,-0.313514,0.398599,0.190091,-0.131685,-159.287054,-33.883623,-100.818206,-0.775945,-0.578657,0.249115,-0.293406,-0.017492,-0.955526,0.557508,-0.81503,-0.155744,0.291219,-0.217075,-0.114272,167.690999,-46.607932,35.624517,-0.670386,0.240602,0.701111,0.146278,-0.883635,0.443294,0.72667,0.400022,0.558241,0.343905,-0.199104,-0.108356,-172.831559,-15.436815,3.539774,-0.95595,0.140803,0.255889,-0.12023,-0.987807,0.094404,0.266176,0.059514,0.962077,0.432755,-0.217856,-0.126885,175.937083,-36.996938,149.486414,-0.796108,0.365708,-0.481233,0.056548,0.837823,0.542932,0.601772,0.405253,-0.687611
0.261305,0.181161,-0.106459,178.871334,-34.244647,-130.647136,-0.826049,-0.413985,-0.381502,0.016274,0.659884,-0.751102,0.562728,-0.626926,-0.538236,0.313879,0.162074,-0.095743,-172.303026,-22.793847,-109.884224,-0.913064,-0.406567,-0.004809,-0.123402,0.288701,-0.949239,0.387417,-0.866594,-0.313433,0.398599,0.190202,-0.131685,-159.249041,-33.890092,-100.861864,-0.775971,-0.578888,0.249492,-0.294004,-0.017488,-0.955491,0.557602,-0.81504,-0.156389,0.291331,-0.217187,-0.114272,167.695555,-46.563933,35.661821,-0.671167,0.24073,0.700544,0.146393,-0.883473,0.443979,0.726142,0.400746,0.558483,0.343681,-0.198881,-0.108579,-172.761318,-15.41193,3.546048,-0.955969,0.142022,0.255343,-0.121423,-0.987679,0.094774,0.265757,0.059626,0.962187,0.432755,-0.217745,-0.127109,176.004155,-37.027969,149.445946,-0.79579,0.365276,-0.48199,0.055589,0.837865,0.542958,0.602205,0.405545,-0.686997
0.261305,0.181049,-0.106459,178.857775,-34.2567,-130.620836,-0.825818,-0.41412,-0.38162,0.016465,0.659691,-0.751246,0.562902,-0.627014,-0.537811,0.313879,0.162074,-0.095855,-172.307213,-22.796382,-109.880131,-0.913343,-0.406597,-0.004768,-0.123372,0.288422,-0.949432,0.387457,-0.866788,-0.313433,0.398599,0.190202,-0.131685,-159.203613,-33.915239,-100.8756,-0.77532,-0.579291,0.249911,-0.294461,-0.017638,-0.955247,0.557966,-0.814633,-0.156514,0.291219,-0.217298,-0.114495,167.745807,-46.543753,35.66402,-0.671401,0.241456,0.699925,0.145827,-0.883078,0.444693,0.7259,0.400894,0.558643,0.343681,-0.199104,-0.108579,-172.777367,-15.355948,3.57962,-0.956007,0.141807,0.254355,-0.121155,-0.987422,0.095159,0.264815,0.060206,0.962406,0.432643,-0.217633,-0.127109,176.030393,-37.022042,149.458918,-0.796108,0.364787,-0.482218,0.055245,0.838105,0.542654,0.602122,0.405532,-0.687329
0.261193,0.181049,-0.106459,178.879206,-34.248695,-130.62551,-0.825818,-0.414235,-0.381311,0.016156,0.659635,-0.751284,0.562786,-0.626975,-0.537867,0.313879,0.161962,-0.095855,-172.315121,-22.806536,-109.86131,-0.912956,-0.406696,-0.004931,-0.123191,0.288422,-0.949333,0.387621,-0.866607,-0.313046,0.398487,0.190091,-0.131797,-159.177669,-33.957376,-100.888191,-0.774983,-0.579876,0.250238,-0.294734,-0.018101,-0.95525,0.558576,-0.814318,-0.156639,0.291219,-0.21741,-0.114495,167.718744,-46.487278,35.72432,-0.671869,0.241459,0.699311,0.146261,-0.882487,0.445436,0.725222,0.401874,0.558767,0.343793,-0.199216,-0.108579,-172.741737,-15.31947,3.619809,-0.956548,0.142614,0.253585,-0.121828,-0.987712,0.09594,0.264201,0.060892,0.96254,0.432643,-0.217298,-0.127332,176.196834,-36.964518,149.36437,-0.796362,0.362644,-0.482575,0.052939,0.83841,0.542345,0.60132,0.406731,-0.686769
