Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""","Sensor #1 Rotation Matrix M0,0","Sensor #1 Rotation Matrix M0,1","Sensor #1 Rotation Matrix M0,2","Sensor #1 Rotation Matrix M1,0","Sensor #1 Rotation Matrix M1,1","Sensor #1 Rotation Matrix M1,2","Sensor #1 Rotation Matrix M2,0","Sensor #1 Rotation Matrix M2,1","Sensor #1 Rotation Matrix M2,2",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""","Sensor #2 Rotation Matrix M0,0","Sensor #2 Rotation Matrix M0,1","Sensor #2 Rotation Matrix M0,2","Sensor #2 Rotation Matrix M1,0","Sensor #2 Rotation Matrix M1,1","Sensor #2 Rotation Matrix M1,2","Sensor #2 Rotation Matrix M2,0","Sensor #2 Rotation Matrix M2,1","Sensor #2 Rotation Matrix M2,2",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""","Sensor #3 Rotation Matrix M0,0","Sensor #3 Rotation Matrix M0,1","Sensor #3 Rotation Matrix M0,2","Sensor #3 Rotation Matrix M1,0","Sensor #3 Rotation Matrix M1,1","Sensor #3 Rotation Matrix M1,2","Sensor #3 Rotation Matrix M2,0","Sensor #3 Rotation Matrix M2,1","Sensor #3 Rotation Matrix M2,2",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""","Sensor #4 Rotation Matrix M0,0","Sensor #4 Rotation Matrix M0,1","Sensor #4 Rotation Matrix M0,2","Sensor #4 Rotation Matrix M1,0","Sensor #4 Rotation Matrix M1,1","Sensor #4 Rotation Matrix M1,2","Sensor #4 Rotation Matrix M2,0","Sensor #4 Rotation Matrix M2,1","Sensor #4 Rotation Matrix M2,2",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""","Sensor #5 Rotation Matrix M0,0","Sensor #5 Rotation Matrix M0,1","Sensor #5 Rotation Matrix M0,2","Sensor #5 Rotation Matrix M1,0","Sensor #5 Rotation Matrix M1,1","Sensor #5 Rotation Matrix M1,2","Sensor #5 Rotation Matrix M2,0","Sensor #5 Rotation Matrix M2,1","Sensor #5 Rotation Matrix M2,2",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X""","Sensor #6 Rotation Matrix M0,0","Sensor #6 Rotation Matrix M0,1","Sensor #6 Rotation Matrix M0,2","Sensor #6 Rotation Matrix M1,0","Sensor #6 Rotation Matrix M1,1","Sensor #6 Rotation Matrix M1,2","Sensor #6 Rotation Matrix M2,0","Sensor #6 Rotation Matrix M2,1","Sensor #6 Rotation Matrix M2,2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.234293,-0.064489,-0.281815,-102.783501,-8.512482,131.682218,-0.218771,-0.623981,-0.749837,-0.964208,0.255286,0.069339,0.148025,0.738344,-0.65743,0.289433,-0.05902,-0.296103,-142.74325,-8.119947,176.503785,-0.787771,-0.597269,-0.149124,-0.599181,0.799735,-0.036812,0.141246,0.060356,-0.98788,0.356183,0.013506,-0.272439,-127.54979,13.476527,-121.713101,-0.59238,-0.295893,0.748738,-0.770617,0.47792,-0.421235,-0.233047,-0.826883,-0.510955,0.411659,-0.243753,-0.187942,139.005664,-16.233436,54.575104,-0.724662,-0.208275,0.656838,0.629814,-0.586902,0.508758,0.279551,0.782382,0.556522,0.484547,-0.223438,-0.190733,155.330749,-11.416064,44.125146,-0.890858,-0.174429,0.419728,0.40917,-0.709943,0.573381,0.197932,0.682466,0.703632,0.545716,-0.274002,-0.197318,153.526911,-8.907372,-114.775399,-0.883878,0.060975,-0.462606,0.440167,0.438169,-0.783551,0.154837,-0.89665,-0.413843
0.240655,-0.064936,-0.279583,-101.305814,-8.743919,132.437349,-0.193686,-0.639576,-0.743378,-0.968792,0.242829,0.044237,0.152018,0.729012,-0.666551,0.29468,-0.058127,-0.294205,-142.390933,-7.801447,177.190975,-0.784466,-0.603965,-0.137302,-0.604318,0.795461,-0.043914,0.135741,0.048526,-0.988999,0.359866,0.014176,-0.271211,-127.319645,13.089431,-121.670507,-0.59036,-0.300665,0.74873,-0.774407,0.471787,-0.421369,-0.226472,-0.828769,-0.511269,0.409091,-0.247659,-0.188612,139.653081,-16.719492,54.737726,-0.729836,-0.194658,0.655164,0.619974,-0.591971,0.514792,0.287686,0.781977,0.552898,0.483543,-0.228014,-0.188612,155.935924,-12.246462,43.207827,-0.892306,-0.164598,0.420339,0.398477,-0.724739,0.562102,0.212117,0.669066,0.712288,0.544041,-0.276792,-0.196648,153.511483,-9.046332,-114.652199,-0.883504,0.058147,-0.463881,0.440278,0.437371,-0.783969,0.157233,-0.897257,-0.411786
0.312427,0.148233,-0.104673,-159.940208,-46.508965,-176.832469,-0.646015,-0.379951,-0.661519,-0.235894,0.924208,-0.300268,0.725482,-0.038001,-0.686673,0.363215,0.121332,-0.096413,-167.498959,-9.207123,-119.819227,-0.963415,-0.243148,0.110029,-0.213602,0.455632,-0.864064,0.160004,-0.856219,-0.490743,0.453182,0.153479,-0.106905,-153.725086,-29.059952,-95.867497,-0.783491,-0.478591,0.395592,-0.386799,-0.121859,-0.913871,0.485725,-0.869324,-0.089338,0.314995,-0.152558,-0.101212,165.396099,-38.806347,-9.313969,-0.754123,-0.346967,0.55764,0.196489,-0.929388,-0.312545,0.62669,-0.126121,0.768999,0.365336,-0.130457,-0.086367,164.32603,-8.735951,-5.524989,-0.951327,-0.282901,0.119548,0.26694,-0.954074,-0.133536,0.151881,-0.095163,0.983804,0.449945,-0.165841,-0.107686,145.090552,-36.688872,-148.958303,-0.657042,0.237457,-0.71472,0.45852,0.879114,-0.129761,0.597469,-0.41315,-0.686464
0.312986,0.147117,-0.104673,-160.523312,-46.525691,-176.851099,-0.648331,-0.37038,-0.664837,-0.229289,0.928101,-0.293317,0.725683,-0.037775,-0.686636,0.363103,0.121332,-0.096413,-167.483856,-9.212369,-119.828637,-0.963169,-0.243352,0.110119,-0.213814,0.455813,-0.863859,0.160094,-0.856007,-0.490808,0.452958,0.153479,-0.106793,-153.715414,-29.049365,-95.866962,-0.783491,-0.478426,0.395753,-0.386963,-0.121859,-0.913791,0.485563,-0.869404,-0.089338,0.314883,-0.15267,-0.101212,165.374084,-38.802745,-9.306232,-0.75367,-0.347158,0.557534,0.19668,-0.928935,-0.312594,0.626641,-0.126014,0.768999,0.365224,-0.130457,-0.086255,164.313181,-8.724791,-5.539846,-0.951355,-0.283144,0.11926,0.267178,-0.954041,-0.13376,0.151689,-0.095421,0.983809,0.450056,-0.165841,-0.107686,145.092818,-36.711296,-148.982263,-0.656895,0.237599,-0.714844,0.458379,0.879262,-0.129275,0.597783,-0.412759,-0.686464
0.312986,0.147451,-0.104673,-160.323403,-46.51662,-176.979553,-0.647316,-0.372002,-0.66457,-0.231474,0.927503,-0.293457,0.725574,-0.036223,-0.686486,0.363103,0.121444,-0.096413,-167.446296,-9.202484,-119.833548,-0.963169,-0.243523,0.110782,-0.214477,0.455682,-0.8638,0.159924,-0.856066,-0.490939,0.45307,0.153479,-0.106905,-153.710903,-29.07019,-95.858001,-0.783168,-0.478672,0.395764,-0.38688,-0.122019,-0.913715,0.485881,-0.869151,-0.089174,0.314883,-0.152558,-0.101212,165.396099,-38.806347,-9.313969,-0.754123,-0.346967,0.55764,0.196489,-0.929388,-0.312545,0.62669,-0.126121,0.768999,0.365224,-0.130346,-0.086255,164.339472,-8.73513,-5.525959,-0.951327,-0.28266,0.119563,0.266699,-0.954074,-0.133519,0.151867,-0.095179,0.983804,0.449833,-0.166064,-0.107798,145.009013,-36.741761,-148.964688,-0.655871,0.238449,-0.715376,0.459092,0.87903,-0.128264,0.598209,-0.412746,-0.685967
0.313097,0.147675,-0.104784,-160.229516,-46.527759,-177.052304,-0.646786,-0.372677,-0.664689,-0.232481,0.927265,-0.29341,0.725708,-0.035343,-0.686372,0.362992,0.121444,-0.096301,-167.420646,-9.183753,-119.858489,-0.963339,-0.243514,0.111285,-0.214967,0.455862,-0.863653,0.159601,-0.856042,-0.491421,0.453182,0.153591,-0.106905,-153.711275,-29.064838,-95.856386,-0.783497,-0.478516,0.396006,-0.387037,-0.122348,-0.913796,0.485799,-0.869393,-0.089174,0.314883,-0.152558,-0.101101,165.401536,-38.768262,-9.303951,-0.754066,-0.346605,0.557251,0.196398,-0.929077,-0.312169,0.626172,-0.126043,0.769368,0.365224,-0.130234,-0.086144,164.379723,-8.699832,-5.491078,-0.951724,-0.281893,0.119242,0.266089,-0.954489,-0.132693,0.151258,-0.09459,0.983956,0.450168,-0.166288,-0.107686,144.96203,-36.718977,-148.973142,-0.655797,0.239451,-0.715256,0.459842,0.878724,-0.127735,0.597891,-0.412837,-0.686347
0.312427,0.147005,-0.104784,-160.21668,-46.590162,-177.349331,-0.646436,-0.369634,-0.667214,-0.232519,0.928627,-0.289092,0.726457,-0.03177,-0.686242,0.36288,0.121444,-0.096301,-167.385591,-9.213447,-119.881705,-0.962847,-0.244255,0.11138,-0.215476,0.456157,-0.86328,0.160113,-0.855583,-0.491618,0.45307,0.153479,-0.106905,-153.706961,-29.058946,-95.834811,-0.783504,-0.47828,0.396255,-0.387113,-0.122677,-0.913713,0.485709,-0.869469,-0.088851,0.31466,-0.15267,-0.101212,165.351335,-38.802235,-9.283447,-0.753612,-0.347307,0.557541,0.196985,-0.928935,-0.312445,0.626634,-0.12571,0.769057,0.365001,-0.129899,-0.086032,164.43696,-8.681626,-5.483469,-0.952177,-0.280933,0.119108,0.265191,-0.954937,-0.132366,0.150944,-0.094464,0.984018,0.450949,-0.166176,-0.107798,145.058703,-36.710171,-149.003187,-0.656747,0.238435,-0.71486,0.458857,0.879125,-0.128569,0.597767,-0.412588,-0.686749
0.312093,0.147117,-0.104561,-160.138087,-46.535637,-177.232464,-0.646388,-0.372095,-0.665476,-0.233503,0.927581,-0.291603,0.725802,-0.033183,-0.686454,0.362657,0.121444,-0.096524,-167.352735,-9.272731,-119.933746,-0.962526,-0.245479,0.111145,-0.215984,0.456631,-0.862891,0.161134,-0.854968,-0.492299,0.453182,0.153591,-0.106793,-153.696448,-29.02284,-95.864276,-0.78382,-0.477941,0.396318,-0.387449,-0.122188,-0.913713,0.485158,-0.869805,-0.089338,0.314437,-0.152893,-0.101212,165.262217,-38.837809,-9.23445,-0.753101,-0.348385,0.557808,0.198103,-0.928793,-0.31265,0.627118,-0.124993,0.768803,0.364889,-0.129564,-0.08592,164.474571,-8.675278,-5.458266,-0.952121,-0.280177,0.119218,0.264502,-0.954937,-0.131834,0.150834,-0.094032,0.984074,0.451507,-0.165953,-0.107798,145.153153,-36.697992,-149.0198,-0.657771,0.237329,-0.714511,0.457961,0.879451,-0.129622,0.597597,-0.412559,-0.687152
0.312204,0.14734,-0.104561,-160.007933,-46.523258,-177.346754,-0.645772,-0.37278,-0.665436,-0.234941,0.927346,-0.291169,0.725654,-0.03181,-0.686423,0.362657,0.121332,-0.096524,-167.361,-9.253711,-119.946766,-0.962942,-0.245181,0.111227,-0.215931,0.456697,-0.862977,0.160806,-0.855127,-0.492649,0.45307,0.153591,-0.106682,-153.690559,-29.002141,-95.875939,-0.783485,-0.477843,0.395985,-0.387383,-0.12137,-0.913546,0.484842,-0.869654,-0.089501,0.314325,-0.152781,-0.101324,165.242187,-38.850875,-9.225935,-0.752647,-0.348604,0.557928,0.198265,-0.928495,-0.312735,0.627296,-0.124851,0.768647,0.364889,-0.129564,-0.085809,164.492827,-8.661479,-5.461796,-0.952603,-0.279956,0.119008,0.264309,-0.955385,-0.131797,0.150596,-0.094096,0.984107,0.451507,-0.166176,-0.107686,145.103822,-36.671444,-149.016308,-0.657259,0.238065,-0.714266,0.458445,0.879241,-0.129146,0.597225,-0.412524,-0.686997
